timestamp,rating,discount,reviews,decision
2026-04-03 16:45:47,4.1,67.62,4248,Not Buy
2026-04-03 16:45:47,4.7,23.12,6397,Buy
2026-04-03 16:45:47,3.8,49.24,4774,Buy
2026-04-03 16:45:47,1.6,12.76,5587,Not Buy
2026-04-03 16:45:47,3.6,74.73,215,Not Buy
2026-04-03 16:45:47,2.1,55.72,8862,Not Buy
2026-04-03 16:45:47,3.8,67.37,6686,Not Buy
2026-04-03 16:45:47,2.6,19.87,5360,Buy
2026-04-03 16:45:47,2.9,48.06,8953,Buy
2026-04-03 16:45:47,1.6,28.9,1596,Not Buy
2026-04-03 16:45:47,2.1,70.59,2450,Not Buy
2026-04-03 16:45:47,4.6,36.77,8840,Buy
2026-04-03 16:45:47,4.4,21.11,5930,Buy
2026-04-03 16:45:47,2.5,70.54,3715,Not Buy
2026-04-03 16:45:47,3.6,9.62,2145,Buy
2026-04-03 16:45:47,2.4,73.35,4911,Not Buy
2026-04-03 16:45:47,3.9,0.43,792,Buy
2026-04-03 16:45:47,2.9,12.1,6598,Buy
2026-04-03 16:45:47,2.4,68.08,3677,Not Buy
2026-04-03 16:45:47,4.3,35.37,4430,Buy
2026-04-03 16:45:47,3.9,55.93,8517,Buy
2026-04-03 16:45:47,4.2,27.85,98,Buy
2026-04-03 16:45:47,3.2,68.01,1,Not Buy
2026-04-03 16:45:47,4.7,40.83,1905,Buy
2026-04-03 16:45:47,4.3,34.75,1747,Buy
2026-04-03 16:45:47,1.7,8.0,9822,Not Buy
2026-04-03 16:45:47,1.7,49.65,519,Not Buy
2026-04-03 16:45:47,3.6,63.5,353,Not Buy
2026-04-03 16:45:47,4.0,48.1,3775,Buy
2026-04-03 16:45:47,1.1,61.2,2503,Not Buy
2026-04-03 16:45:47,3.1,53.83,5914,Buy
2026-04-03 16:45:47,1.3,21.53,3883,Not Buy
2026-04-03 16:45:47,3.3,60.85,9859,Not Buy
2026-04-03 16:45:47,1.2,70.39,9094,Not Buy
2026-04-03 16:45:47,3.9,48.65,7778,Buy
2026-04-03 16:45:47,4.0,29.81,699,Buy
2026-04-03 16:45:47,1.5,19.15,6171,Not Buy
2026-04-03 16:45:47,1.9,67.92,9151,Not Buy
2026-04-03 16:45:47,2.3,47.8,3227,Not Buy
2026-04-03 16:45:47,2.3,76.95,9151,Not Buy
2026-04-03 16:45:47,1.1,18.57,2471,Not Buy
2026-04-03 16:45:47,1.4,48.09,4390,Not Buy
2026-04-03 16:45:47,4.5,41.46,1149,Buy
2026-04-03 16:45:47,1.6,22.48,8757,Not Buy
2026-04-03 16:45:47,2.0,20.51,9357,Not Buy
2026-04-03 16:45:47,3.0,11.51,4131,Buy
2026-04-03 16:45:47,2.8,70.8,4132,Not Buy
2026-04-03 16:45:47,4.3,34.69,910,Buy
2026-04-03 16:45:47,1.6,23.19,8749,Not Buy
